0	81	62
1	20	76
2	11	81
3	36	17
4	54	36
5	46	29
6	76	77
7	51	73
8	84	10
9	79	76
10	26	39
11	30	75
12	14	51
13	53	13
14	24	47
15	38	47
16	77	14
17	50	21
18	51	48
19	12	75
20	93	9
21	83	59
22	70	73
23	58	62
24	37	57
25	58	13
26	50	25
27	77	72
28	78	68
29	6	33
30	57	53
31	44	98
32	69	96
33	73	8
34	26	17
35	2	38
36	66	34
37	95	81
38	27	86
39	99	96
40	17	61
41	40	35
42	83	91
43	91	15
44	75	78
45	75	62
46	60	63
47	66	19
48	73	8
49	24	73
50	6	13
51	79	96
52	58	81
53	11	66
54	85	3
55	75	5
56	13	52
57	31	23
58	35	61
59	17	53
60	37	30
61	59	23
62	21	79
63	91	94
64	10	3
65	83	99
66	48	96
67	79	58
68	12	83
69	4	58
70	82	42
71	76	72
72	36	89
73	43	15
74	13	48
75	1	10
76	57	52
77	28	11
78	17	99
79	56	68
80	90	38
81	41	19
82	29	59
83	90	45
84	16	48
85	42	82
86	42	35
87	71	59
88	53	100
89	58	50
90	70	42
91	13	59
92	18	47
93	72	86
94	5	11
95	58	43
96	58	45
97	73	51
98	27	77
99	91	19
