0	95	19
1	56	9
2	43	76
3	70	32
4	25	30
5	25	11
6	38	74
7	86	53
8	42	97
9	14	91
10	3	94
11	65	98
12	59	75
13	67	73
14	95	23
15	85	82
16	23	89
17	5	48
18	96	32
19	72	34
20	20	90
21	53	46
22	18	37
23	3	84
24	58	56
25	72	71
26	12	81
27	63	57
28	14	65
29	64	14
30	81	54
31	83	21
32	5	84
33	4	89
34	61	41
35	38	49
36	25	49
37	79	75
38	91	25
39	42	76
40	12	28
41	21	63
42	25	75
43	74	10
44	24	21
45	93	61
46	26	98
47	90	56
48	96	65
49	45	68
50	10	67
51	58	5
52	98	56
53	24	81
54	55	28
55	16	14
56	52	76
57	1	31
58	49	76
59	41	93
60	31	66
61	77	54
62	23	72
63	77	33
64	68	52
65	82	33
66	97	18
67	21	17
68	76	59
69	86	53
70	58	69
71	81	82
72	51	87
73	49	57
74	37	52
